American University of Beirut,0,790
Arizona State University,0,476
Boston College,0,7993
Brooklyn Museum,0,2
Columbia University,0.8,133306
Cornell University,3.5,613937
Duke University,0.1,17001
Emory University,0,2621
Getty Research Institute,0.3,56576
Harvard University,5.6,984192
Haverford College,0,1
Indiana University,3.2,551250
Keio University,0.5,93476
Knowledge Unlatched,0,102
Library of Congress,0.6,108892
McGill University,0,4263
Michigan State University,0.5,83253
Millennium Project,0,11
Minnesota Digital Library,0.1,21218
New York Public Library,2.1,364663
North Carolina State University,0,3196
Northwestern University,1.2,208046
Oklahoma State University,0,15
Pennsylvania State University,2.5,429246
Princeton University,1.5,257742
Private Donor,0,3
Purdue University,0.3,48129
State University System of Florida,0.1,14711
Sterling and Francine Clark Art Institute,0,361
Technical Report Archive & Image Library,0.3,58529
Temple University,0,234
Texas A&M University,0,7538
Texas State University - San Marcos,0,23
The Ohio State University,2,347508
The University of Queensland,0,187
The University of Texas,2.7,474714
Tufts University,0,1503
Universidad Complutense de Madrid,0.7,121297
University At Buffalo The State University of New York,0,398
University of Alberta,0.4,76121
University of California,26.1,4566481
University of Chicago,0.8,136362
University of Connecticut,0,4637
University of Delaware,0,88
University of Illinois at Urbana-Champaign,5,871700
University of Iowa,0.4,62970
University of Maryland College Park,0,1174
University of Massachusetts Amherst,0.1,15788
University of Miami,0,441
University of Michigan,27.8,4865434
University of Minnesota,3.6,621827
University of Missouri - Columbia,0,2076
University of North Carolina at Chapel Hill,0.2,37242
University of Notre Dame,0,101
University of Pennsylvania,0,369
University of South Carolina,0,23
University of Tennessee Knoxville,0,135
University of Virginia,3.5,608306
University of Washington,0,1155
University of Wisconsin - Madison,3.3,572282
Utah State University Press,0,166
Wake Forest University,0,1551
Yale University,0.1,26220
